id;euro_2004;mundial_2006;euro_2012;mundial_2014
56;13º;4º;12º;1º
1;N.A.;N.A.;1º;21º
59;8º;20º;7º;7º
60;4º;23º;16º;15º
64;N.A.;N.A.;15º;4º
69;N.A.;2º;3º;13º
63;14º;10º;N.A;19º
78;11º;9º;N.A.;6º
80;7º;6º;13º;3º
65;3º;18º;11º;10º
70;N.A.;12º;8º;12º
99;N.A.;N.A.;N.A.;N.A.
75;N.A.;N.A.;4º;22º
72;N.A.;N.A.;17º;9º
73;N.A.;22º;19º;2º
68;N.A.;11º;9º;8º
67;N.A.;N.A.;N.A.;5º
77;N.A.;21º;10º;16º
71;N.A.;N.A.;N.A.;20º
76;9º;7º;18º;18º
62;1º;19º;N.A.;17º
98;N.A.;13º;N.A.;N.A.
74;N.A.;3º;6º;14º
97;N.A.;N.A.;N.A.;N.A.
